symptom,state,Up to 2018-08-01,Up to 2018-09-01,aggregate_correlation
Myoclonus,MS,1,9,1
Nausea,MS,46,21,46
Neck Pain,MS,48,21,47
Neuralgia,MS,31,30,31
Nocturia,MS,38,8,38
Obesity,MS,18,55,18
Oliguria,MS,1,9,1
Overweight,MS,20,47,20
Pain,MS,46,21,46
Pallor,MS,47,22,48
Paralysis,MS,25,49,25
Paraplegia,MS,43,24,43
Paresis,MS,30,29,30
Paresthesia,MS,41,17,41
Pelvic Pain,MS,32,32,32
Photophobia,MS,38,8,38
Polyuria,MS,39,14,39
Presbycusis,MS,46,21,46
Proteinuria,MS,1,51,1
Pruritus,MS,30,29,30
Purpura,MS,19,53,19
Purpura Fulminans,MS,19,53,19
Quadriplegia,MS,42,18,42
Sarcopenia,MS,50,26,50
Sciatica,MS,45,31,45
Scotoma,MS,40,15,40
Seizures,MS,22,50,22
Shoulder Pain,MS,46,21,46
Sleep Deprivation,MS,13,45,13
Sleep Disorders,MS,20,47,20
Sneezing,MS,29,28,29
Snoring,MS,32,32,32
Spasm,MS,14,56,14
Stupor,MS,1,9,1
Stuttering,MS,18,55,18
Syncope,MS,26,57,26
Tetany,MS,52,10,52
Tics,MS,20,47,20
Tinea Pedis,MS,15,42,15
Tinnitus,MS,7,39,7
Toothache,MS,46,21,46
Torticollis,MS,31,30,31
Tremor,MS,32,32,32
Urinary Incontinence,MS,58,13,58
Vertigo,MS,10,42,10
Vomiting,MS,2,36,2
Weight Gain,MS,46,21,46
Weight Loss,MS,46,21,46
Abdominal Pain,MO,9,78,10
Acute Coronary Syndrome,MO,35,63,28
Ageusia,MO,18,89,19
Agnosia,MO,39,58,41
Agraphia,MO,4,69,4
Alien Hand Syndrome,MO,82,33,82
Amaurosis Fugax,MO,49,9,48
Amblyopia,MO,68,44,72
Amnesia,MO,9,78,9
Angina Pectoris,MO,32,14,30
Anisocoria,MO,45,50,23
Anomia,MO,31,64,29
Anorexia,MO,65,45,69
Anoxia,MO,67,24,71
Aphasia,MO,74,73,75
Aphonia,MO,1,66,1
Apnea,MO,74,73,75
Arthralgia,MO,55,42,61
Asthenia,MO,66,35,70
Ataxia,MO,36,48,38
Athetosis,MO,16,3,17
Back Pain,MO,9,78,10
Birth Weight,MO,51,82,50
Blindness,MO,65,45,69
Body Weight,MO,37,65,40
Bulimia,MO,65,45,69
Cachexia,MO,48,7,47
Catatonia,MO,35,63,28
Cerebellar Ataxia,MO,48,7,47
Chest Pain,MO,9,78,10
Chills,MO,9,78,10
Chorea,MO,81,32,81
Colic,MO,60,39,64
Coma,MO,12,83,13
Communication Disorders,MO,63,40,67
Confusion,MO,75,11,76
Constipation,MO,9,78,10
Coprophagia,MO,45,50,23
Cough,MO,9,78,10
Cyanosis,MO,83,34,83
Deafness,MO,66,45,70
Delirium,MO,43,61,45
Diarrhea,MO,9,78,10
Diplopia,MO,67,24,71
Dizziness,MO,9,78,10
Dysarthria,MO,59,18,63
Dysgeusia,MO,42,60,44
Dyslexia,MO,71,28,58
Dysmenorrhea,MO,53,8,52
Dyspepsia,MO,66,26,70
Dysphonia,MO,2,67,2
Dyspnea,MO,17,19,18
Dystonia,MO,54,88,54
Dysuria,MO,3,68,3
Earache,MO,9,78,10
Ecchymosis,MO,3,68,3
Echolalia,MO,23,52,32
Edema,MO,19,85,8
Emaciation,MO,31,64,29
Encopresis,MO,56,36,62
Eructation,MO,30,57,22
Eye Hemorrhage,MO,56,38,62
Eye Pain,MO,9,78,10
Facial Pain,MO,50,10,49
Fasciculation,MO,85,5,85
Fatigue,MO,9,78,10
Feminization,MO,64,45,68
Fetal Weight,MO,70,2,57
Fever,MO,9,78,10
Flank Pain,MO,89,77,89
Flatulence,MO,69,16,73
Flushing,MO,20,86,34
Gagging,MO,11,80,12
Gastroparesis,MO,8,78,10
Halitosis,MO,82,33,82
Hallucinations,MO,87,75,87
Headache,MO,9,78,10
Hearing Loss,MO,82,33,82
Heartburn,MO,9,78,10
Hematemesis,MO,14,20,15
Hemianopsia,MO,76,11,77
Hemiplegia,MO,44,62,46
Hemoglobinuria,MO,21,2,36
Hemoptysis,MO,33,12,31
Hiccup,MO,9,78,10
Hirsutism,MO,77,23,78
Hoarseness,MO,56,38,62
Horner Syndrome,MO,25,54,24
Hot Flashes,MO,7,81,7
Hydrops Fetalis,MO,27,15,35
Hyperacusis,MO,24,53,33
Hyperalgesia,MO,28,55,20
Hypercapnia,MO,22,1,37
Hyperemesis Gravidarum,MO,13,84,14
Hyperesthesia,MO,42,60,44
Hyperphagia,MO,73,22,74
Hyperventilation,MO,71,29,58
Hypocapnia,MO,28,55,20
Hypothermia,MO,65,43,69
Hypoventilation,MO,56,38,62
Illusions,MO,65,45,69
Intermittent Claudication,MO,34,27,27
Jaundice,MO,58,37,60
Korsakoff Syndrome,MO,10,79,11
Labor Pain,MO,39,58,41
Lethargy,MO,29,56,21
Livedo Reticularis,MO,77,22,78
Low Back Pain,MO,46,51,55
Mental Retardation,MO,65,45,69
Metatarsalgia,MO,77,72,78
Miosis,MO,75,13,76
Morning Sickness,MO,9,78,9
Motion Sickness,MO,41,59,43
Mouth Breathing,MO,47,3,56
Muscle Cramp,MO,79,30,79
Muscle Weakness,MO,81,32,81
Muscular Atrophy,MO,66,35,70
Mutism,MO,61,46,65
Myoclonus,MO,55,42,61
Myotonia,MO,86,74,86
Nausea,MO,9,78,10
Neck Pain,MO,9,78,10
Neuralgia,MO,57,35,62
Nocturia,MO,73,22,74
Obesity,MO,65,45,69
Oliguria,MO,53,87,53
Ophthalmoplegia,MO,62,47,66
Orthostatic Intolerance,MO,90,6,90
Overweight,MO,38,49,39
Pain,MO,9,78,10
Pallor,MO,57,37,60
Paralysis,MO,9,78,10
Paraparesis,MO,49,9,48
Paraplegia,MO,26,26,25
Paresis,MO,76,72,77
Paresthesia,MO,80,31,80
Pelvic Pain,MO,9,78,10
Persistent Vegetative State,MO,86,74,86
Phantom Limb,MO,40,23,42
Photophobia,MO,56,38,62
Polyuria,MO,82,33,82
Presbycusis,MO,88,76,88
Prosopagnosia,MO,56,38,62
Proteinuria,MO,84,4,84
Pruritus,MO,34,27,27
Pseudophakia,MO,21,2,36
Purpura,MO,65,44,69
Purpura Fulminans,MO,5,70,5
Quadriplegia,MO,31,64,29
Renal Colic,MO,61,46,65
Sarcopenia,MO,15,21,16
Sciatica,MO,9,78,10
Scotoma,MO,70,17,57
Seizures,MO,8,78,10
Shoulder Pain,MO,9,78,10
Sleep Deprivation,MO,65,45,69
Sleep Disorders,MO,65,45,69
Sneezing,MO,9,78,10
Snoring,MO,9,78,10
Spasm,MO,41,59,43
Speech Disorders,MO,64,41,68
Stupor,MO,22,1,37
Stuttering,MO,65,46,69
Sweating Sickness,MO,78,25,26
Syncope,MO,14,20,15
Synkinesis,MO,6,71,6
Tetany,MO,68,44,72
Thinness,MO,42,60,44
Tics,MO,65,45,69
Tinea Pedis,MO,56,36,62
Tinnitus,MO,52,87,51
Toothache,MO,9,78,10
Torticollis,MO,72,36,59
Tremor,MO,82,33,82
Trismus,MO,84,4,84
Unconsciousness,MO,82,33,82
Urinary Incontinence,MO,63,40,67
Vertigo,MO,7,81,7
Vomiting,MO,9,78,10
Weight Gain,MO,9,78,10
Weight Loss,MO,9,78,10
Abdominal Pain,MT,32,2,43
Amnesia,MT,31,43,36
Anorexia,MT,6,7,4
Anoxia,MT,4,16,1
Aphasia,MT,4,16,1
Apnea,MT,19,12,24
Ataxia,MT,22,27,19
Back Pain,MT,37,48,48
Birth Weight,MT,22,27,19
Blindness,MT,6,7,4
Body Weight,MT,42,22,53
Bulimia,MT,7,8,5
Cachexia,MT,4,16,1
Chest Pain,MT,38,49,49
Chills,MT,36,47,47
Chorea,MT,23,4,16
Colic,MT,48,32,42
Coma,MT,21,30,26
Confusion,MT,18,11,23
Constipation,MT,14,44,12
Cough,MT,37,48,48
Cyanosis,MT,50,35,30
Deafness,MT,6,7,4
Delirium,MT,10,14,8
Diarrhea,MT,37,48,48
Diplopia,MT,25,6,18
Dizziness,MT,29,33,33
Dysarthria,MT,53,38,39
Dyslexia,MT,5,17,2
Dysmenorrhea,MT,16,23,21
Dyspepsia,MT,52,37,38
Dysphonia,MT,51,36,37
Dyspnea,MT,32,2,43
Dystonia,MT,24,5,17
Dysuria,MT,41,51,52
Earache,MT,18,11,23
Ecchymosis,MT,53,38,39
Edema,MT,8,13,6
Encopresis,MT,49,34,20
Eye Pain,MT,46,20,57
Fatigue,MT,21,30,26
Feminization,MT,4,16,1
Fever,MT,36,47,47
Flatulence,MT,11,15,9
Flushing,MT,49,34,20
Gagging,MT,51,36,37
Gastroparesis,MT,44,54,55
Halitosis,MT,35,41,46
Hallucinations,MT,20,29,25
Headache,MT,37,48,48
Hearing Loss,MT,51,36,37
Heartburn,MT,39,50,50
Hemiplegia,MT,52,37,38
Hemoptysis,MT,27,40,15
Hiccup,MT,47,31,41
Hot Flashes,MT,19,12,24
Hyperemesis Gravidarum,MT,47,31,41
Hyperventilation,MT,29,21,31
Hypothermia,MT,9,10,7
Illusions,MT,8,9,6
Jaundice,MT,28,39,31
Lethargy,MT,23,4,16
Low Back Pain,MT,1,24,27
Morning Sickness,MT,30,19,35
Motion Sickness,MT,26,1,14
Nausea,MT,37,48,48
Neck Pain,MT,12,46,10
Neuralgia,MT,1,24,27
Obesity,MT,8,9,6
Oliguria,MT,33,42,44
Overweight,MT,49,34,20
Pain,MT,37,48,48
Pallor,MT,26,1,14
Paralysis,MT,11,15,9
Paresthesia,MT,20,29,25
Pelvic Pain,MT,43,55,54
Polyuria,MT,44,54,55
Presbycusis,MT,23,4,16
Pruritus,MT,34,52,45
Purpura,MT,13,13,11
Sarcopenia,MT,54,57,40
Sciatica,MT,48,32,42
Seizures,MT,17,28,22
Shoulder Pain,MT,37,48,48
Sleep Deprivation,MT,20,29,25
Sneezing,MT,28,53,32
Snoring,MT,40,39,51
Spasm,MT,20,29,25
Stupor,MT,10,14,8
Stuttering,MT,5,18,3
Syncope,MT,8,9,6
Tetany,MT,45,56,56
Tics,MT,29,3,34
Tinnitus,MT,2,25,28
Toothache,MT,10,14,8
Torticollis,MT,20,29,25
Tremor,MT,7,8,5
Vertigo,MT,11,15,9
Vomiting,MT,3,26,29
Weight Gain,MT,15,45,13
Weight Loss,MT,29,55,31
Abdominal Pain,NE,4,64,7
Agnosia,NE,62,55,63
Amblyopia,NE,22,71,59
Amnesia,NE,30,59,53
Angina Pectoris,NE,71,2,27
Anisocoria,NE,28,49,40
Anorexia,NE,49,41,77
Anoxia,NE,48,37,79
Aphasia,NE,50,28,46
Apnea,NE,32,80,55
Arthralgia,NE,17,50,60
Asthenia,NE,31,24,54
Ataxia,NE,18,51,61
Back Pain,NE,4,64,7
Birth Weight,NE,46,33,73
Blindness,NE,49,41,77
Body Weight,NE,39,42,78
Bulimia,NE,49,41,77
Cachexia,NE,6,57,9
Catatonia,NE,3,54,6
Chest Pain,NE,4,64,7
Chills,NE,72,1,28
Chorea,NE,21,69,58
Colic,NE,34,25,36
Coma,NE,43,7,26
Confusion,NE,50,37,79
Constipation,NE,4,64,7
Coprophagia,NE,77,31,20
Cough,NE,4,64,7
Cyanosis,NE,37,18,34
Deafness,NE,50,28,46
Delirium,NE,80,8,51
Diarrhea,NE,4,64,7
Diplopia,NE,21,69,58
Dizziness,NE,2,53,5
Dysarthria,NE,70,12,25
Dysgeusia,NE,16,44,41
Dyslexia,NE,36,17,33
Dysmenorrhea,NE,60,23,67
Dyspepsia,NE,23,70,1
Dysphonia,NE,19,51,62
Dyspnea,NE,72,1,28
Dystonia,NE,17,50,60
Dysuria,NE,8,61,11
Earache,NE,32,72,55
Ecchymosis,NE,75,3,31
Echolalia,NE,11,19,15
Edema,NE,27,28,47
Emaciation,NE,62,55,63
Encopresis,NE,79,43,14
Eye Pain,NE,42,14,69
Fatigue,NE,67,9,22
Feminization,NE,20,68,57
Fever,NE,4,64,7
Flank Pain,NE,74,79,30
Flatulence,NE,61,26,68
Flushing,NE,58,21,65
Gagging,NE,73,5,29
Gastroparesis,NE,72,1,28
Halitosis,NE,20,68,57
Hallucinations,NE,29,78,52
Headache,NE,4,64,7
Hearing Loss,NE,76,4,32
Heartburn,NE,4,64,7
Hematemesis,NE,26,29,49
Hemianopsia,NE,70,12,25
Hemiplegia,NE,48,37,79
Hemoptysis,NE,60,23,67
Hiccup,NE,9,62,12
Hirsutism,NE,45,34,72
Hoarseness,NE,44,72,71
Hot Flashes,NE,68,10,23
Hypercapnia,NE,17,50,60
Hyperemesis Gravidarum,NE,23,60,2
Hyperventilation,NE,53,40,82
Hypothermia,NE,46,33,73
Hypoventilation,NE,63,56,64
Illusions,NE,49,41,77
Jaundice,NE,56,73,75
Labor Pain,NE,40,15,70
Lethargy,NE,1,52,4
Low Back Pain,NE,45,35,72
Metatarsalgia,NE,1,52,4
Miosis,NE,66,58,45
Morning Sickness,NE,40,15,70
Motion Sickness,NE,77,5,20
Muscle Weakness,NE,77,31,20
Mutism,NE,64,45,43
Myoclonus,NE,74,78,30
Myotonia,NE,20,68,57
Nausea,NE,4,64,7
Neck Pain,NE,4,64,7
Neuralgia,NE,29,80,52
Nocturia,NE,78,32,21
Obesity,NE,49,41,77
Oliguria,NE,57,74,76
Overweight,NE,71,2,27
Pain,NE,4,64,7
Pallor,NE,79,43,14
Paralysis,NE,32,63,55
Paraplegia,NE,12,20,16
Paresis,NE,65,46,44
Paresthesia,NE,59,22,66
Pelvic Pain,NE,24,60,3
Phantom Limb,NE,16,44,42
Photophobia,NE,7,27,10
Polyuria,NE,69,11,24
Presbycusis,NE,54,47,38
Prosopagnosia,NE,13,75,17
Proteinuria,NE,71,2,27
Pruritus,NE,41,16,35
Purpura,NE,51,38,80
Renal Colic,NE,55,48,39
Sarcopenia,NE,70,12,25
Sciatica,NE,42,14,69
Scotoma,NE,14,76,18
Seizures,NE,38,13,50
Shoulder Pain,NE,4,64,7
Sleep Deprivation,NE,49,41,77
Sleep Disorders,NE,51,38,80
Sneezing,NE,47,36,74
Snoring,NE,73,6,29
Spasm,NE,52,39,81
Stupor,NE,10,67,13
Stuttering,NE,38,34,50
Syncope,NE,36,17,33
Tetany,NE,15,77,19
Tics,NE,25,27,48
Tinea Pedis,NE,41,16,35
Tinnitus,NE,33,81,56
Toothache,NE,35,66,37
Torticollis,NE,25,30,48
Tremor,NE,52,39,81
Trismus,NE,48,37,79
Urinary Incontinence,NE,69,11,24
Vertigo,NE,20,68,57
Vomiting,NE,4,64,7
Weight Gain,NE,5,65,8
Weight Loss,NE,5,65,8
Abdominal Pain,NV,18,16,18
Ageusia,NV,12,39,12
Agnosia,NV,55,3,40
Amblyopia,NV,63,53,51
Amnesia,NV,19,19,21
Angina Pectoris,NV,33,65,62
Anisocoria,NV,15,11,15
Anomia,NV,14,10,14
Anorexia,NV,38,68,67
Anoxia,NV,33,65,62
Aphasia,NV,6,25,6
Apnea,NV,37,15,66
Arthralgia,NV,65,53,52
Asthenia,NV,38,68,67
Ataxia,NV,68,48,43
Back Pain,NV,20,20,19
Birth Weight,NV,53,30,41
Blindness,NV,61,56,48
Body Weight,NV,69,48,44
Bulimia,NV,61,56,48
Cachexia,NV,65,53,52
Catatonia,NV,51,17,38
Chest Pain,NV,20,20,19
Chills,NV,20,20,19
Chorea,NV,9,35,9
Colic,NV,67,47,56
Coma,NV,49,62,60
Confusion,NV,46,44,36
Constipation,NV,20,20,19
Coprophagia,NV,7,23,7
Cough,NV,20,20,19
Cyanosis,NV,40,67,69
Deafness,NV,54,31,42
Delirium,NV,64,46,46
Diarrhea,NV,20,20,19
Diplopia,NV,3,2,3
Dizziness,NV,20,46,46
Dysarthria,NV,42,41,33
Dysgeusia,NV,2,1,2
Dyslexia,NV,59,55,49
Dysmenorrhea,NV,25,28,26
Dyspepsia,NV,1,13,1
Dysphonia,NV,46,44,36
Dyspnea,NV,32,60,61
Dystonia,NV,49,57,60
Dysuria,NV,14,10,14
Earache,NV,18,16,18
Ecchymosis,NV,48,61,59
Echolalia,NV,6,25,6
Edema,NV,3,2,3
Emaciation,NV,22,22,23
Encopresis,NV,38,68,67
Eye Pain,NV,35,14,64
Fatigue,NV,4,4,4
Feminization,NV,69,50,44
Fever,NV,20,20,19
Flank Pain,NV,42,41,33
Flatulence,NV,25,28,26
Flushing,NV,41,50,70
Gagging,NV,32,57,61
Gastroparesis,NV,1,13,1
Halitosis,NV,47,59,58
Hallucinations,NV,40,67,69
Headache,NV,20,20,19
Hearing Loss,NV,59,55,49
Heartburn,NV,20,20,19
Hematemesis,NV,27,5,28
Hemianopsia,NV,38,68,67
Hemiplegia,NV,5,25,5
Hemoptysis,NV,63,32,51
Hiccup,NV,44,61,22
Hirsutism,NV,33,65,62
Hoarseness,NV,14,10,14
Hot Flashes,NV,43,42,34
Hydrops Fetalis,NV,42,41,33
Hyperacusis,NV,57,63,54
Hyperalgesia,NV,16,12,16
Hypercapnia,NV,30,8,31
Hyperemesis Gravidarum,NV,2,1,2
Hyperphagia,NV,53,30,41
Hyperventilation,NV,26,29,27
Hypothermia,NV,62,54,53
Hypoventilation,NV,45,43,35
Illusions,NV,61,56,48
Jaundice,NV,69,49,44
Labor Pain,NV,27,5,28
Lethargy,NV,23,26,24
Low Back Pain,NV,39,69,68
Mental Retardation,NV,66,45,45
Metatarsalgia,NV,50,38,37
Miosis,NV,2,1,2
Morning Sickness,NV,3,2,3
Motion Sickness,NV,65,53,52
Mouth Breathing,NV,3,2,3
Muscle Cramp,NV,17,18,17
Muscle Weakness,NV,3,2,3
Mutism,NV,33,65,62
Myoclonus,NV,52,33,39
Myotonia,NV,48,61,59
Nausea,NV,20,20,19
Neck Pain,NV,20,20,19
Neuralgia,NV,46,44,36
Nocturia,NV,28,6,29
Obesity,NV,61,56,48
Oliguria,NV,13,40,13
Overweight,NV,70,52,47
Pain,NV,20,20,19
Pallor,NV,8,24,8
Paralysis,NV,20,20,19
Paraplegia,NV,3,2,3
Paresis,NV,5,25,5
Paresthesia,NV,65,53,52
Pelvic Pain,NV,35,14,64
Photophobia,NV,26,29,27
Polyuria,NV,50,38,37
Presbycusis,NV,17,18,17
Prosopagnosia,NV,10,36,10
Proteinuria,NV,45,43,35
Pruritus,NV,48,61,59
Purpura,NV,66,45,45
Quadriplegia,NV,24,27,25
Renal Colic,NV,57,63,54
Sarcopenia,NV,45,43,35
Sciatica,NV,18,20,18
Scotoma,NV,2,1,2
Seizures,NV,60,51,50
Shoulder Pain,NV,20,20,19
Sleep Deprivation,NV,58,64,55
Sleep Disorders,NV,64,56,48
Sneezing,NV,21,21,20
Snoring,NV,68,48,43
Spasm,NV,36,58,65
Stupor,NV,29,7,30
Stuttering,NV,48,60,59
Sweating Sickness,NV,31,9,32
Syncope,NV,47,59,58
Tetany,NV,30,8,31
Tics,NV,34,66,63
Tinea Pedis,NV,11,37,11
Tinnitus,NV,39,69,68
Toothache,NV,20,20,19
Torticollis,NV,65,53,52
Tremor,NV,2,1,2
Trismus,NV,48,61,59
Unconsciousness,NV,55,32,40
Urinary Incontinence,NV,69,48,44
Vertigo,NV,56,34,57
Vomiting,NV,20,20,19
Weight Gain,NV,19,19,21
Weight Loss,NV,19,19,21
Abdominal Pain,NH,63,23,72
Agnosia,NH,9,64,9
Albuminuria,NH,67,26,75
Amblyopia,NH,56,31,63
Amnesia,NH,42,16,42
Anisocoria,NH,54,29,61
Anorexia,NH,29,71,29
Aphasia,NH,18,51,18
Apnea,NH,69,67,76
Arthralgia,NH,21,52,21
Asthenia,NH,51,39,52
Ataxia,NH,32,40,32
Back Pain,NH,63,23,72
Birth Weight,NH,21,52,21
Blindness,NH,29,71,29
Body Weight,NH,13,65,13
Bulimia,NH,29,71,29
Cachexia,NH,33,44,33
Catatonia,NH,19,59,19
Chest Pain,NH,63,23,72
Chills,NH,63,6,72
Chorea,NH,5,55,5
Colic,NH,32,73,32
Coma,NH,3,57,3
Confusion,NH,35,46,35
Constipation,NH,63,23,72
Coprophagia,NH,6,56,6
Cough,NH,63,23,72
Cyanosis,NH,33,44,33
Deafness,NH,22,74,22
Delirium,NH,26,3,26
Diarrhea,NH,63,23,72
Diplopia,NH,47,34,47
Dizziness,NH,75,13,57
Dysarthria,NH,33,44,33
Dyslexia,NH,11,61,11
Dysmenorrhea,NH,57,32,64
Dyspepsia,NH,70,42,54
Dysphonia,NH,34,45,34
Dyspnea,NH,45,27,45
Dystonia,NH,10,77,10
Dysuria,NH,64,24,73
Earache,NH,24,7,24
Ecchymosis,NH,33,44,33
Echolalia,NH,52,9,59
Edema,NH,41,70,41
Encopresis,NH,48,35,48
Eye Pain,NH,20,53,20
Fatigue,NH,74,12,56
Feminization,NH,31,75,31
Fever,NH,63,23,72
Flatulence,NH,28,1,28
Flushing,NH,38,49,38
Gagging,NH,4,76,4
Gastroparesis,NH,66,21,70
Halitosis,NH,72,41,53
Hallucinations,NH,43,5,43
Headache,NH,63,23,72
Hearing Loss,NH,27,54,27
Heartburn,NH,63,23,72
Hemianopsia,NH,55,30,62
Hemiplegia,NH,59,15,66
Hemoptysis,NH,62,20,69
Hiccup,NH,42,16,42
Hirsutism,NH,37,48,37
Hot Flashes,NH,4,76,4
Hypercapnia,NH,49,36,49
Hyperemesis Gravidarum,NH,16,50,16
Hyperventilation,NH,37,48,37
Hypothermia,NH,32,40,32
Hypoventilation,NH,47,34,47
Illusions,NH,29,71,29
Jaundice,NH,30,72,30
Lethargy,NH,68,17,77
Low Back Pain,NH,15,11,15
Metatarsalgia,NH,25,4,25
Miosis,NH,1,60,1
Morning Sickness,NH,73,43,55
Motion Sickness,NH,59,15,66
Muscle Hypotonia,NH,21,52,21
Mutism,NH,10,77,10
Myoclonus,NH,10,77,10
Nausea,NH,63,23,72
Neck Pain,NH,63,23,72
Neuralgia,NH,72,41,53
Nocturia,NH,53,10,60
Obesity,NH,29,71,29
Oliguria,NH,25,6,25
Orthostatic Intolerance,NH,44,8,44
Overweight,NH,32,40,32
Pain,NH,63,23,72
Pallor,NH,71,22,71
Paralysis,NH,2,58,2
Paresthesia,NH,33,44,33
Pelvic Pain,NH,23,5,23
Polyuria,NH,76,14,58
Presbycusis,NH,60,18,67
Prosopagnosia,NH,61,19,68
Proteinuria,NH,31,75,31
Pruritus,NH,21,52,21
Purpura,NH,50,38,51
Sciatica,NH,23,2,23
Seizures,NH,21,52,21
Shoulder Pain,NH,63,23,72
Sleep Deprivation,NH,14,78,14
Sneezing,NH,7,62,7
Snoring,NH,74,12,56
Spasm,NH,28,1,28
Stupor,NH,65,25,74
Stuttering,NH,17,50,17
Sweating Sickness,NH,58,33,65
Syncope,NH,49,37,50
Tetany,NH,72,41,53
Tics,NH,36,47,36
Tinnitus,NH,39,68,39
Toothache,NH,40,69,40
Torticollis,NH,8,63,8
Tremor,NH,24,40,24
Urinary Incontinence,NH,46,28,46
Vertigo,NH,12,66,12
Vomiting,NH,63,23,72
Weight Gain,NH,63,23,72
Weight Loss,NH,63,23,72
Abdominal Pain,NJ,66,10,16
Acute Coronary Syndrome,NJ,37,53,58
Ageusia,NJ,2,46,39
Agnosia,NJ,43,28,75
Agraphia,NJ,81,26,23
Albuminuria,NJ,58,4,27
Alien Hand Syndrome,NJ,11,69,5
Amaurosis Fugax,NJ,60,77,25
Amblyopia,NJ,15,61,46
Amnesia,NJ,66,10,16
Angina Pectoris,NJ,13,66,50
Anisocoria,NJ,65,7,11
Anomia,NJ,10,68,4
Anorexia,NJ,13,66,50
Anoxia,NJ,64,6,10
Aphasia,NJ,70,55,14
Aphonia,NJ,49,36,79
Apnea,NJ,66,10,16
Arthralgia,NJ,1,43,43
Asthenia,NJ,16,63,41
Ataxia,NJ,21,40,38
Athetosis,NJ,38,54,59
Back Pain,NJ,66,10,16
Birth Weight,NJ,68,11,18
Blindness,NJ,13,66,50
Body Weight,NJ,5,77,1
Bulimia,NJ,13,66,50
Cachexia,NJ,47,38,62
Catalepsy,NJ,2,46,39
Catatonia,NJ,22,49,65
Cerebellar Ataxia,NJ,61,3,26
Chest Pain,NJ,66,10,16
Chills,NJ,66,10,16
Chorea,NJ,42,32,74
Colic,NJ,67,10,17
Coma,NJ,66,10,16
Communication Disorders,NJ,40,33,72
Confusion,NJ,51,27,24
Constipation,NJ,66,10,16
Coprophagia,NJ,40,34,72
Cough,NJ,66,10,16
Cyanosis,NJ,48,36,78
Deafness,NJ,14,65,47
Delirium,NJ,27,31,70
Diarrhea,NJ,66,10,16
Diplopia,NJ,22,49,65
Dizziness,NJ,66,10,16
Dysarthria,NJ,41,30,73
Dysgeusia,NJ,52,20,29
Dyslexia,NJ,69,72,49
Dysmenorrhea,NJ,7,69,3
Dyspepsia,NJ,25,50,68
Dysphonia,NJ,23,49,66
Dyspnea,NJ,40,33,72
Dystonia,NJ,62,74,63
Dysuria,NJ,29,59,12
Earache,NJ,65,7,11
Ecchymosis,NJ,64,6,10
Echolalia,NJ,39,54,60
Edema,NJ,11,67,5
Emaciation,NJ,71,12,19
Encopresis,NJ,14,65,47
Eructation,NJ,55,23,32
Eye Hemorrhage,NJ,51,27,24
Eye Pain,NJ,66,10,16
Facial Pain,NJ,38,54,59
Facial Paralysis,NJ,12,59,45
Fasciculation,NJ,2,46,39
Fatigue,NJ,66,10,16
Feminization,NJ,13,66,50
Fever,NJ,66,10,16
Flank Pain,NJ,26,39,69
Flatulence,NJ,13,66,50
Flushing,NJ,66,10,16
Gagging,NJ,73,41,48
Gastroparesis,NJ,66,10,16
Halitosis,NJ,34,58,55
Hallucinations,NJ,66,10,16
Headache,NJ,66,10,16
Hearing Loss,NJ,6,76,2
Heart Murmurs,NJ,19,38,36
Heartburn,NJ,66,10,16
Hematemesis,NJ,26,31,69
Hemianopsia,NJ,46,35,61
Hemiplegia,NJ,12,55,45
Hemoglobinuria,NJ,42,32,74
Hemoptysis,NJ,11,70,5
Hiccup,NJ,66,10,16
Hirsutism,NJ,37,53,58
Hoarseness,NJ,44,29,76
Horner Syndrome,NJ,45,1,77
Hot Flashes,NJ,66,10,16
Hydrops Fetalis,NJ,60,77,25
Hyperacusis,NJ,14,65,47
Hyperalgesia,NJ,61,3,26
Hypercapnia,NJ,76,15,8
Hyperemesis Gravidarum,NJ,74,13,6
Hyperesthesia,NJ,78,17,20
Hyperphagia,NJ,18,37,35
Hyperventilation,NJ,46,35,61
Hypocapnia,NJ,42,32,74
Hypothermia,NJ,8,72,51
Hypoventilation,NJ,42,32,74
Illusions,NJ,13,66,50
Intermittent Claudication,NJ,5,45,1
Jaundice,NJ,11,67,5
Korsakoff Syndrome,NJ,18,37,35
Labor Pain,NJ,72,8,15
Language Disorders,NJ,13,66,50
Lethargy,NJ,41,30,73
Livedo Reticularis,NJ,10,68,4
Low Back Pain,NJ,6,76,2
Mental Retardation,NJ,13,66,50
Metatarsalgia,NJ,45,1,77
Miosis,NJ,8,71,51
Morning Sickness,NJ,72,9,15
Motion Sickness,NJ,50,42,80
Mouth Breathing,NJ,35,51,56
Muscle Cramp,NJ,24,48,67
Muscle Weakness,NJ,36,52,57
Muscular Atrophy,NJ,33,66,54
Mutism,NJ,17,64,42
Myoclonus,NJ,44,29,76
Myokymia,NJ,8,71,51
Myotonia,NJ,2,46,39
Nausea,NJ,66,10,16
Neck Pain,NJ,66,10,16
Neuralgia,NJ,32,57,53
Nocturia,NJ,49,43,79
Obesity,NJ,13,66,50
Oliguria,NJ,64,6,10
Ophthalmoplegia,NJ,57,25,34
Orthostatic Intolerance,NJ,20,39,37
Overweight,NJ,63,75,64
Pain,NJ,66,10,16
Pallor,NJ,12,55,45
Paralysis,NJ,66,10,16
Paraparesis,NJ,56,24,33
Paraplegia,NJ,12,62,45
Paresis,NJ,33,58,54
Paresthesia,NJ,14,65,47
